"FIDs","BAN_JING","YDH","YDMZGUID","17_sl_HH_F02DAR","p2hv"
106,15,"43312736453618","67274ac2-3bf4-4cb7-b501-40f4141e3a2c",7840,3415
107,15,"43312736442619","eca000c6-d2a1-414e-801c-81e975dafa3d",7270,4274
108,15,"43312736452620","c056145c-cd72-44f8-9db0-fbb8d8a7b57e",8439,4051
109,15,"43312706453621","fbe1ae31-ad91-46d0-803b-9daca2cefc00",6137,3940
110,15,"43312707441622","d2c95954-466e-43ee-abbc-60ddf85572a7",6999,3629
111,15,"43312736451623","59a98594-29a8-4494-8c04-5c4a79ea3365",8819,5956
112,15,"43312707452624","271731a0-e8dd-4790-8492-f2e23f9b58c5",16390,14920
113,15,"43312735441625","1029b86c-0c62-484b-ae7f-b82e5672b618",3904,1483
114,15,"43312706452626","f36fcb27-b0c1-4561-adba-5ea32e587384",4366,2611
115,15,"43312735451627","f89d5cfa-278f-45c1-8b1f-9cb952140a46",6196,3749
116,15,"43312737453628","3e77b592-a468-4b38-83be-0a83a46fee73",9584,5679
117,15,"43312706453629","1bc65041-7f3b-4569-9b20-5b0e82e40988",13687,6285
118,15,"43312737453630","f2fcabf2-eb2f-4470-a224-f1bd9c7e53b2",8431,6981
119,15,"43312706441631","8f9a2257-aebd-4033-8056-791c3bc4fbfd",8104,3922
120,15,"43312706452632","7b5ffb3a-a872-4a23-90b4-bd1c1c47cc5a",7301,2470
121,15,"43312708453633","93b7f177-c31d-43d0-a8dc-8f7693bb821f",6016,2504
122,15,"43312731432634","80c8509c-8992-4f63-9ffc-3c7f649b8169",4109,2196
123,15,"43312706443635","acee672d-18e3-4891-91c6-7ca4ee96050b",5670,4644
124,15,"43312736431636","0559d335-0c96-4202-9c56-01a34b1919b0",6529,4987
125,15,"43312706442637","495b83ac-655e-40a9-9273-20974b824bd3",10462,6178
126,15,"43312736443638","e7b6a5f5-87f9-466b-8de4-4030cca33523",11111,7553
127,15,"43312706441639","91905a63-e183-4a26-9391-ffe4c1344a0b",11043,6180
128,15,"43312737431640","126606d8-2f36-4f5c-9797-3d90cd063454",8667,5658
129,15,"43312708452509","5c300aaf-a3f0-4f8d-9de8-10cedb96b00b",7395,3939
130,15,"43312708453510","f72770f9-1a39-4e6b-8fb5-229920d0d3e2",4992,3812
131,15,"43312737442511","4166d812-a335-49d4-8743-5366f7fe5a3a",9150,4410
132,15,"43312736452512","8f1b12d5-02d5-403f-ab97-dc572fab758f",6476,3746
133,15,"43312737452513","c4ca8003-5eeb-40ac-bafc-4009c242a0e2",5022,3809
134,15,"43312737442514","1d10b3ab-6a0d-43ba-8d79-de7d195c70bc",8559,3430
135,15,"43312708422515","f39f15b3-e4a7-4b35-b199-fd3e351e0ed1",10634,6805
136,15,"43312736452516","5f66e4dd-0345-42bc-81d3-429edb65b7ce",7180,4524
137,15,"43312708421519","5e6ab1e6-5451-4639-9564-e24445b493a0",6074,3198
138,15,"43312736442520","5e07a3a2-dd99-4ef6-bb45-4f2e36421dbb",7679,4789
139,15,"43312707451521","542b0e3c-3ef4-4260-be29-4234c1015ab5",7766,4289
140,15,"43312707441522","b0adb818-68a8-4654-b8b5-7eb4aacb7f7c",10590,4931
141,17,"43312731442523","fcde9421-7e06-4f8f-9c63-6fb817fe1c8f",9236,4790
142,15,"43312706442524","1154aa55-8392-4bee-9381-f6b32c05b54f",14743,8718
143,15,"43312706443525","03d56cb0-ebdf-4b72-8207-b6afde137200",8262,4887
